RSBSA REFERENCE NUMBER,FIRSTNAME,MIDDLENAME,LASTNAME,EXTENSIONNAME,IDNUMBER,GOVTIDTYPE,STREETNO_PUROKNO,BARANGAY,CITYMUNICIPALITY,DISTRICT,PROVINCE,REGION,BIRTHDATE(YYYY-MM-DD),PLACEOFBIRTH,MOBILENO,SEX,NATIONALITY,PROFESSION,SOURCEOFFUNDS,MOTHERMAIDENNAME,# OF FARM PARCEL,TOTAL FARM AREA (Ha)
88-18-9862-50235,Sydney,Carter,Warren,,CD120235,License,Street Name235,Barangay Name235,General Santos,District 235,Tarlac,Region 235,1997-12-26,San Juan Ilocos Sur,09271242726,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50236,Lucas,Hunt,Maitim,,CD120236,License,Street Name236,Barangay Name236,General Trias,District 236,Tarlac,Region 236,1995-10-10,San Juan Ilocos Sur,09271298847,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50237,Amy,Cooper,Hawkins,,CD120237,License,Street Name237,Barangay Name237,Gingoog,District 237,Misamis Oriental,Region 237,1980-11-12,San Juan Ilocos Sur,09271281612,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50238,James,Harper,Kalinga,,CD120238,License,Street Name238,Barangay Name238,Guihulngan,District 238,Negros Oriental,Region 238,1973-10-19,San Juan Ilocos Sur,09271283410,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50239,Amelia,Payne,Riley,,CD120239,License,Street Name239,Barangay Name239,Himamaylan,District 239,Negros Occidental,Region 239,1991-11-20,San Juan Ilocos Sur,09271223318,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50240,Edith,Brooks,Maputi,,CD120240,License,Street Name240,Barangay Name240,Ilagan,District 240,Isabela,Region 240,1983-10-29,San Juan Ilocos Sur,09271234823,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50241,Brooke,Harper,Montgomery,,CD120241,License,Street Name241,Barangay Name241,Iligan,District 241,Lanao del Norte,Region 241,1978-12-26,San Juan Ilocos Sur,09271210009,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50242,Wilson,Miller,Rison,,CD120242,License,Street Name242,Barangay Name242,Iloilo City,District 242,Tarlac,Region 242,1995-12-23,San Juan Ilocos Sur,09271298885,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50243,James,Phillips,Walker,,CD120243,License,Street Name243,Barangay Name243,Imus,District 243,Cavite,Region 243,1996-10-23,San Juan Ilocos Sur,09271295755,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50244,Joyce,Hill,Henderson,,CD120244,License,Street Name244,Barangay Name244,Iriga,District 244,Camarines Sur,Region 244,1988-12-28,San Juan Ilocos Sur,09271249811,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50245,George,Phillips,Stewart,,CD120245,License,Street Name245,Barangay Name245,Isabela,District 245,Tarlac,Region 245,1999-10-13,San Juan Ilocos Sur,09271260230,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50246,Elise,Moore,Mindanao,,CD120246,License,Street Name246,Barangay Name246,Kabankalan,District 246,Negros Occidental,Region 246,1968-11-21,San Juan Ilocos Sur,09271265525,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50247,Owen,Carter,Ang,,CD120247,License,Street Name247,Barangay Name247,Kidapawan,District 247,Cotabato,Region 247,1986-11-19,San Juan Ilocos Sur,09271275233,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50248,Edward,Andrews,Richardson,,CD120248,License,Street Name248,Barangay Name248,Koronadal,District 248,South Cotabato,Region 248,1974-12-26,San Juan Ilocos Sur,09271238461,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50249,Lucy,Wright,Tablea,,CD120249,License,Street Name249,Barangay Name249,La Carlota,District 249,Negros Occidental,Region 249,1993-10-10,San Juan Ilocos Sur,09271222921,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50250,Audrey,Morris,Sibay,,CD120250,License,Street Name250,Barangay Name250,Lamitan,District 250,Basilan,Region 250,1988-12-18,San Juan Ilocos Sur,09271265008,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50251,Oliver,Reed,Summer,,CD120251,License,Street Name251,Barangay Name251,Laoag,District 251,Ilocos Norte,Region 251,1970-12-21,San Juan Ilocos Sur,09271249232,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50252,Charlie,West,Baes,,CD120252,License,Street Name252,Barangay Name252,Lapu-Lapu City,District 252,Cebu,Region 252,1963-11-13,San Juan Ilocos Sur,09271224359,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50253,Amanda,Harrison,Jones,,CD120253,License,Street Name253,Barangay Name253,Las Pi¤as,District 253,Occidental Mindoro,Region 253,1995-10-22,San Juan Ilocos Sur,09271280497,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50254,Kirsten,Harper,Smith,,CD120254,License,Street Name254,Barangay Name254,Legazpi,District 254,Albay,Region 254,1980-10-24,San Juan Ilocos Sur,09271251303,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50255,William,Walker,Edwardo,,CD120255,License,Street Name255,Barangay Name255,Ligao,District 255,Albay,Region 255,1965-10-21,San Juan Ilocos Sur,09271268558,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50256,Daryl,Gray,Richards,,CD120256,License,Street Name256,Barangay Name256,Lipa,District 256,Batangas,Region 256,1973-11-17,San Juan Ilocos Sur,09271295271,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50257,Isabella,Riley,Harper,,CD120257,License,Street Name257,Barangay Name257,Lucena,District 257,Quezon,Region 257,1982-10-13,San Juan Ilocos Sur,09271242207,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50258,Kristian,Bailey,Miller,,CD120258,License,Street Name258,Barangay Name258,Maasin,District 258,Southern Leyte,Region 258,1972-10-20,San Juan Ilocos Sur,09271226546,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50259,Sydney,Hamilton,Browns,,CD120259,License,Street Name259,Barangay Name259,Mabalacat,District 259,Pampanga,Region 259,1970-12-26,San Juan Ilocos Sur,09271238030,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50260,Connie,Ellis,Wells,,CD120260,License,Street Name260,Barangay Name260,Makati,District 260,Occidental Mindoro,Region 260,1981-10-23,San Juan Ilocos Sur,09271229547,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50261,Sienna,Hill,Hamilton,,CD120261,License,Street Name261,Barangay Name261,Malabon,District 261,Pampanga,Region 261,1990-12-27,San Juan Ilocos Sur,09271285769,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50262,Myra,Watson,Wilson,,CD120262,License,Street Name262,Barangay Name262,Malaybalay,District 262,Tarlac,Region 262,1960-12-10,San Juan Ilocos Sur,09271248183,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50263,Melissa,Alexander,Manoais,,CD120263,License,Street Name263,Barangay Name263,Malolos,District 263,Bulacan,Region 263,1990-10-14,San Juan Ilocos Sur,09271251496,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50264,Eric,Elliott,Tibayan,,CD120264,License,Street Name264,Barangay Name264,Mandaluyong,District 264,Pampanga,Region 264,1968-10-11,San Juan Ilocos Sur,09271233603,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50265,Olivia,Holmes,Granger,,CD120265,License,Street Name265,Barangay Name265,Mandaue,District 265,Cebu,Region 265,1999-12-17,San Juan Ilocos Sur,09271253278,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50266,Julia,Richardson,Martin,,CD120266,License,Street Name266,Barangay Name266,Manila,District 266,Tarlac,Region 266,1962-12-22,San Juan Ilocos Sur,09271271948,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50267,David,Henderson,Scott,,CD120267,License,Street Name267,Barangay Name267,Marawi,District 267,Tarlac,Region 267,1961-12-10,San Juan Ilocos Sur,09271293893,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50268,Ryan,Owens,Kalinisan,,CD120268,License,Street Name268,Barangay Name268,Marikina,District 268,Occidental Mindoro,Region 268,1963-12-29,San Juan Ilocos Sur,09271228452,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50269,Clark,Higgins,Kalis,,CD120269,License,Street Name269,Barangay Name269,Masbate City,District 269,Masbate,Region 269,1977-10-26,San Juan Ilocos Sur,09271211340,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50270,Lenny,Hill,Johnston,,CD120270,License,Street Name270,Barangay Name270,Mati,District 270,Davao Oriental,Region 270,1986-12-19,San Juan Ilocos Sur,09271275401,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50271,Edward,Morgan,Murphy,,CD120271,License,Street Name271,Barangay Name271,Meycauayan,District 271,Bulacan,Region 271,1997-12-14,San Juan Ilocos Sur,09271242956,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50272,Antony,Morrison,Anderson,,CD120272,License,Street Name272,Barangay Name272,Mu¤oz,District 272,Nueva Ecija,Region 272,1977-11-13,San Juan Ilocos Sur,09271288128,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50273,Justin,Warren,Alonso,,CD120273,License,Street Name273,Barangay Name273,Muntinlupa,District 273,Occidental Mindoro,Region 273,1987-11-12,San Juan Ilocos Sur,09271271363,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50274,Adison,Brown,Allen,,CD120274,License,Street Name274,Barangay Name274,Naga,District 274,Camarines Sur,Region 274,1961-10-17,San Juan Ilocos Sur,09271210102,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50275,Heather,Riley,Somer,,CD120275,License,Street Name275,Barangay Name275,Naga,District 275,Cebu,Region 275,1982-11-14,San Juan Ilocos Sur,09271298277,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50276,Abraham,Lloyd,Bista,,CD120276,License,Street Name276,Barangay Name276,Navotas,District 276,Occidental Mindoro,Region 276,1969-10-28,San Juan Ilocos Sur,09271252037,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50277,Savana,Ellis,Miguel,,CD120277,License,Street Name277,Barangay Name277,Olongapo,District 277,Zambales,Region 277,1985-10-19,San Juan Ilocos Sur,09271283566,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50278,Albert,Grant,Bernado,,CD120278,License,Street Name278,Barangay Name278,Ormoc,District 278,Leyte,Region 278,1978-10-25,San Juan Ilocos Sur,09271299714,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50279,Vivian,Smith,Sullivan,,CD120279,License,Street Name279,Barangay Name279,Oroquieta,District 279,Misamis Occidental,Region 279,1983-12-14,San Juan Ilocos Sur,09271257057,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50280,Maria,Spencer,Aldo,,CD120280,License,Street Name280,Barangay Name280,Ozamiz,District 280,Misamis Occidental,Region 280,1973-12-29,San Juan Ilocos Sur,09271242339,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50281,Carlos,Davis,Wells,,CD120281,License,Street Name281,Barangay Name281,Pagadian,District 281,Misamis Occidental,Region 281,2000-12-24,San Juan Ilocos Sur,09271264628,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50282,Melanie,Holmes,Jones,,CD120282,License,Street Name282,Barangay Name282,Palayan,District 282,Nueva Ecija,Region 282,1999-11-10,San Juan Ilocos Sur,09271265529,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50283,Maria,Carter,Ross,,CD120283,License,Street Name283,Barangay Name283,Panabo,District 283,Davao del Norte,Region 283,1992-12-29,San Juan Ilocos Sur,09271290069,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50284,Ryan,Brooks,Hamil,,CD120284,License,Street Name284,Barangay Name284,Para¤aque,District 284,Occidental Mindoro,Region 284,1967-12-10,San Juan Ilocos Sur,09271258253,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50285,Lyndon,Stewart,Rosing,,CD120285,License,Street Name285,Barangay Name285,Pasay,District 285,Occidental Mindoro,Region 285,1982-12-19,San Juan Ilocos Sur,09271267577,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50286,Lyndon,Kelly,Moore,,CD120286,License,Street Name286,Barangay Name286,Pasig,District 286,Occidental Mindoro,Region 286,1994-12-16,San Juan Ilocos Sur,09271249452,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50287,Fenton,Holmes,Stevens,,CD120287,License,Street Name287,Barangay Name287,Passi,District 287,Iloilo,Region 287,1996-12-24,San Juan Ilocos Sur,09271251408,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50288,Aiden,Armstrong,Buhos,,CD120288,License,Street Name288,Barangay Name288,Puerto Princesa,District 288,Palawan,Region 288,1986-10-25,San Juan Ilocos Sur,09271262349,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50289,Alen,Sullivan,Kelley,,CD120289,License,Street Name289,Barangay Name289,Quezon City,District 289,Occidental Mindoro,Region 289,1965-11-15,San Juan Ilocos Sur,09271247708,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50290,Audrey,Chapman,Galing,,CD120290,License,Street Name290,Barangay Name290,Roxas,District 290,Capiz,Region 290,1995-11-20,San Juan Ilocos Sur,09271260436,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50291,Emma,Thompson,Samson,,CD120291,License,Street Name291,Barangay Name291,Sagay,District 291,Negros Occidental,Region 291,1960-11-15,San Juan Ilocos Sur,09271296991,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50292,Arthur,Morris,Montgomery,,CD120292,License,Street Name292,Barangay Name292,Samal,District 292,Davao del Norte,Region 292,1994-12-17,San Juan Ilocos Sur,09271234246,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50293,Kirsten,Perkins,Lingap,,CD120293,License,Street Name293,Barangay Name293,San Carlos,District 293,Negros Occidental,Region 293,1980-12-13,San Juan Ilocos Sur,09271230028,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50294,Roman,Reed,Sison,,CD120294,License,Street Name294,Barangay Name294,San Carlos,District 294,Pangasinan,Region 294,1987-10-28,San Juan Ilocos Sur,09271272363,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50295,Ellia,Kelly,Mirang,,CD120295,License,Street Name295,Barangay Name295,San Fernando,District 295,La Union,Region 295,1964-11-21,San Juan Ilocos Sur,09271295375,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50296,Dexter,Rogers,Grander,,CD120296,License,Street Name296,Barangay Name296,San Fernando,District 296,Pampanga,Region 296,1967-10-30,San Juan Ilocos Sur,09271266986,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50297,Aldus,Johnson,Delos Reyes,,CD120297,License,Street Name297,Barangay Name297,San Jose,District 297,Nueva Ecija,Region 297,1972-12-14,San Juan Ilocos Sur,09271233858,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50298,Brooke,Fowler,Spencer,,CD120298,License,Street Name298,Barangay Name298,San Jose del Monte,District 298,Bulacan,Region 298,1977-12-13,San Juan Ilocos Sur,09271235729,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50299,Miley,Wilson,Phillips,,CD120299,License,Street Name299,Barangay Name299,San Juan,District 299,Occidental Mindoro,Region 299,1983-12-24,San Juan Ilocos Sur,09271283056,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50300,Chester,Baker,Lima,,CD120300,License,Street Name300,Barangay Name300,San Pablo,District 300,Laguna,Region 300,1964-11-10,San Juan Ilocos Sur,09271229189,Married,FILIPINO,FARMER,FARMING,,,
